종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","392","8","2.08","377","392","375","654000","249964709","80518480896","205404288"
"215000","골프존","KOSDAQ","우량기업부","108100","400","0.37","104700","109800","103900","30961","3326468600","678372361500","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","우량기업부","5540","180","3.36","5200","5860","5200","285865","1574828520","237315971720","42836818"
"183410","골프존데카","KONEX","일반기업부","3240","-125","-3.71","3475","3475","3000","244","761860","13320161640","4111161"
"366030","공구우먼","KOSDAQ","중견기업부","7550","-50","-0.66","7550","7740","7390","122628","929554280","166346130000","22032600"
"076340","관악산업","KONEX","일반기업부","6360","180","2.91","6360","6360","6360","2","12720","30982485600","4871460"
"009290","광동제약","KOSPI",,"5920","100","1.72","5800","5940","5740","62882","368468800","310331437920","52420851"
"014200","광림","KOSDAQ","중견기업부","1365","35","2.63","1360","1510","1360","15286437","21947134865","123814640040","90706696"
"017040","광명전기","KOSPI",,"2090","30","1.46","2040","2110","2020","342745","709726515","90575615350","43337615"
"029480","광무","KOSDAQ","관리종목(소속부없음)","3325","-120","-3.48","3390","3435","3270","91462","303767700","109217166100","32847268"
"017900","광전자","KOSPI",,"2085","15","0.72","2030","2090","1995","89010","181251015","120812745855","57943763"
"037710","광주신세계","KOSPI",,"31350","-550","-1.72","31850","31900","31250","4914","154402100","250800000000","8000000"
"026910","광진실업","KOSDAQ","중견기업부","5230","-140","-2.61","5370","5400","5230","28393","149973190","33500268150","6405405"
"355150","교보10호스팩","KOSDAQ","SPAC(소속부없음)","2400","0","0.00","0","0","0","0","0","12768000000","5320000"
"397880","교보11호스팩","KOSDAQ","SPAC(소속부없음)","2150","-5","-0.23","2160","2160","2120","12265","26126500","9546000000","4440000"
"421800","교보12호스팩","KOSDAQ","SPAC(소속부없음)","2115","-10","-0.47","2135","2135","2105","12463","26322180","12647700000","5980000"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)","2010","-170","-7.80","2100","2140","1980","448683","909812765","7798800000","3880000"
"030610","교보증권","KOSPI",,"5670","10","0.18","5550","5670","5550","14621","81921170","366584188320","64653296"
"339770","교촌에프앤비","KOSPI",,"9840","70","0.72","9540","9860","9540","19941","194075080","245828193600","24982540"
"053270","구영테크","KOSDAQ","중견기업부","2530","-40","-1.56","2570","2640","2425","194664","488493700","66777260220","26394174"
"007690","국도화학","KOSPI",,"43150","-250","-0.58","42950","43550","42050","23147","998127000","388808080400","9010616"
"005320","국동","KOSPI",,"1105","-55","-4.74","1105","1135","1085","638262","706911965","61227371530","55409386"
"001140","국보","KOSPI",,"880","-26","-2.87","864","911","840","687696","609133108","69855085520","79380779"
"066620","국보디자인","KOSDAQ","우량기업부","15300","-50","-0.33","14600","15350","14600","7465","111818350","114750000000","7500000"
"043650","국순당","KOSDAQ","우량기업부","7080","-120","-1.67","7190","7190","6950","48255","340104210","126436792320","17858304"
"006050","국영지앤엠","KOSDAQ","중견기업부","1190","0","0.00","1160","1355","1155","938805","1159150760","41525339170","34895243"
"060480","국일신동","KOSDAQ","중견기업부","2755","15","0.55","2735","2760","2630","38836","104106060","30552950000","11090000"
"078130","국일제지","KOSDAQ","중견기업부","2030","-30","-1.46","2015","2065","2005","394424","801135865","259063470190","127617473"
"307750","국전약품","KOSDAQ","우량기업부","10300","-500","-4.63","10850","11100","10050","6692521","71238129450","505413470700","49069269"
"002720","국제약품","KOSPI",,"4225","175","4.32","4030","4275","4020","166017","690709470","85324504525","20195149"
"243870","굿센","KONEX","일반기업부","15650","0","0.00","0","0","0","0","0","40436548250","2583805"
"035080","그래디언트","KOSDAQ","중견기업부","14450","-200","-1.37","14200","14650","13750","69255","991589000","224373588800","15527584"
