종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"076340","관악산업","KONEX","일반기업부","6180","180","3.00","6180","6180","6180","1","6180","30105622800","4871460"
"009290","광동제약","KOSPI",,"5820","100","1.75","5790","5930","5790","111644","654683190","305089352820","52420851"
"014200","광림","KOSDAQ","중견기업부","1330","-25","-1.85","1360","1405","1330","1559900","2133886205","120639905680","90706696"
"017040","광명전기","KOSPI",,"2060","5","0.24","2085","2185","2060","459052","976307760","89275486900","43337615"
"029480","광무","KOSDAQ","관리종목(소속부없음)","3445","50","1.47","3400","3500","3400","58074","200113435","113158838260","32847268"
"017900","광전자","KOSPI",,"2070","50","2.48","2055","2095","2020","112334","230929675","119943589410","57943763"
"037710","광주신세계","KOSPI",,"31900","200","0.63","32000","32200","31750","4168","133313950","255200000000","8000000"
"026910","광진실업","KOSDAQ","중견기업부","5370","20","0.37","5420","5470","5310","27607","148537870","34397024850","6405405"
"355150","교보10호스팩","KOSDAQ","SPAC(소속부없음)","2400","0","0.00","0","0","0","0","0","12768000000","5320000"
"397880","교보11호스팩","KOSDAQ","SPAC(소속부없음)","2155","5","0.23","2165","2165","2130","5077","10854310","9568200000","4440000"
"421800","교보12호스팩","KOSDAQ","SPAC(소속부없음)","2125","10","0.47","2125","2145","2110","1311","2775575","12707500000","5980000"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)","2180","-115","-5.01","2320","2320","2165","157989","352707940","8458400000","3880000"
"030610","교보증권","KOSPI",,"5660","-10","-0.18","5670","5760","5660","53747","307005530","365937655360","64653296"
"339770","교촌에프앤비","KOSPI",,"9770","0","0.00","9810","9980","9770","17366","170980230","244079415800","24982540"
"053270","구영테크","KOSDAQ","중견기업부","2570","-5","-0.19","2615","2680","2570","224010","588429110","67833027180","26394174"
"007690","국도화학","KOSPI",,"43400","-650","-1.48","44550","45250","43300","19933","883869450","391060734400","9010616"
